,sex,month,year,start,end,predicted_renter
0,M,12,1999,94704,94704,Joseph Williams
1,M,12,2000,94706,94706,James Lopez
2,M,4,1999,94703,94703,Daniel Wilson
3,M,2,1999,94710,94710,Carter Robinson
4,M,12,1994,94707,94707,John Phillips
5,M,2,1999,94710,94710,Carter Robinson
6,M,11,1999,94701,94705,Grayson Parker
7,F,10,1992,94705,94705,Ella Wilson
8,M,4,2000,94701,94712,Liam Collins
9,M,12,1994,94710,94701,John Phillips
10,M,2,1990,94701,94701,Noah Johnson
11,M,11,2000,94720,94720,Wyatt Carter
12,M,3,1998,94710,94706,Dylan Thomas
13,F,3,1993,94702,94702,Olivia Davis
14,F,2,1991,94708,94708,Abigail Harris
15,M,6,2000,94710,94710,James Lee
16,M,7,1994,94712,94712,Michael Jackson
17,F,5,1994,94705,94705,Harper Carter
18,M,6,1994,94703,94703,Liam Baker
19,F,5,1994,94705,94705,Harper Carter
20,F,1,1994,94720,94720,Elizabeth Miller
21,M,6,1990,94709,94709,Luke Davis
22,M,8,1998,94709,94709,Daniel Baker
23,M,2,2000,94705,94705,James Clark
24,F,2,1994,94704,94712,Olivia Hall
25,M,4,2000,94705,94705,Luke Turner
26,M,8,1997,94701,94701,Samuel Lewis
27,F,6,1997,94720,94720,Abigail Hill
28,M,7,1997,94705,94709,Noah Green
29,M,10,1991,94701,94701,Oliver Smith
30,F,2,1994,94704,94707,Charlotte Wright
31,M,5,1996,94702,94702,Dylan Clark
32,M,4,1990,94708,94712,Owen Edwards
33,M,4,2000,94701,94709,Benjamin Harris
34,M,9,1993,94703,94703,Joseph Anderson
35,M,5,1994,94709,94707,Benjamin Gonzalez
36,F,5,1998,94702,94704,Elizabeth Adams
37,M,4,1998,94720,94720,Mason Young
38,M,1,1999,94707,94707,Mason Lewis
39,M,6,1995,94704,94702,Michael Thomas
40,M,2,1992,94720,94720,Matthew Harris
41,M,2,1996,94701,94701,John Turner
42,M,7,1992,94707,94703,Alexander Brown
43,M,3,1994,94708,94708,Alexander Green
44,M,10,1999,94712,94712,Alexander Lopez
45,M,11,1990,94702,94708,William Clark
46,M,8,1999,94706,94706,Benjamin Campbell
47,F,8,1995,94702,94702,Harper Jones
48,F,11,1991,94709,94707,Abigail White
49,M,10,1998,94708,94707,John Martinez
50,F,10,1995,94720,94720,Ella Perez
51,F,3,1998,94708,94708,Emma Martin
52,M,9,1993,94703,94703,Joseph Anderson
53,F,4,1992,94705,94701,Sophia Campbell
54,M,12,1990,94707,94710,Owen Evans
55,M,7,1997,94702,94705,Daniel Lewis
56,M,5,1990,94704,94701,Andrew Perez
57,M,3,1995,94720,94720,Henry Brown
58,M,8,1992,94707,94707,David Collins
59,F,11,1992,94712,94704,Olivia Allen
60,F,2,1992,94712,94712,Charlotte King
61,F,6,1995,94704,94705,Elizabeth Hernandez
62,M,3,1995,94707,94707,Henry Davis
63,F,4,1993,94707,94707,Sophia White
64,M,3,1994,94709,94706,Noah Adams
65,M,9,2000,94701,94701,Avery Adams
66,M,6,2000,94701,94701,Matthew Robinson
67,F,8,1999,94709,94705,Abigail Taylor
68,M,1,1990,94720,94720,Sebastian Thompson
69,M,7,1991,94707,94707,David Lee
70,F,6,1997,94720,94720,Abigail Hill
71,F,9,1999,94704,94708,Isabella Jackson
72,M,5,1995,94710,94710,Daniel Miller
73,M,2,1999,94706,94705,Carter Robinson
74,F,8,2000,94720,94720,Evelyn Evans
75,M,9,1998,94710,94710,David Smith
76,F,2,1991,94708,94708,Abigail Harris
77,F,7,2000,94702,94706,Evelyn Walker
78,M,3,1991,94720,94703,Jack Thompson
79,M,3,1991,94702,94702,John Roberts
80,M,3,1990,94708,94708,Owen Lopez
81,M,5,2000,94704,94708,Oliver Thompson
82,M,2,2000,94720,94720,Henry Walker
83,M,3,1992,94720,94720,Benjamin Turner
84,M,12,2000,94703,94703,Jackson Allen
85,M,1,1997,94704,94706,Elijah Taylor
86,M,6,1997,94704,94704,Liam Allen
87,M,5,1994,94703,94703,Jayden Smith
88,F,9,1993,94709,94709,Amelia Green
89,M,9,1991,94707,94707,Lucas Edwards
90,M,11,1999,94703,94707,Liam Thompson
91,M,7,1997,94705,94705,Mason Campbell
92,F,8,1990,94702,94702,Evelyn Rodriguez
93,M,7,2000,94701,94701,David Nelson
94,F,8,1993,94720,94720,Mila Lewis
95,F,12,1992,94705,94705,Sophia Brown
96,M,9,1995,94707,94708,Elijah Clark
97,M,7,1995,94703,94703,Aiden Williams
98,M,8,1995,94701,94701,Michael Brown
99,M,11,1994,94709,94709,Carter Thompson
100,M,10,1990,94703,94708,Carter Phillips
101,M,4,1997,94707,94707,Ethan Carter
102,M,9,1993,94701,94701,Matthew Garcia
103,M,2,1993,94710,94704,Joseph Baker
104,M,8,1992,94706,94702,Mason Parker
105,M,4,1990,94703,94703,Owen Edwards
106,F,8,1990,94702,94702,Evelyn Rodriguez
107,M,7,1999,94720,94705,Oliver King
108,M,5,1990,94709,94710,Liam Adams
109,M,12,1992,94707,94707,Jackson Wright
110,F,11,1991,94706,94706,Abigail White
111,F,2,1993,94720,94720,Ella Mitchell
112,M,10,1995,94703,94703,Jackson Smith
113,M,1,1991,94708,94712,John Jones
114,M,12,2000,94701,94701,Mason Nelson
115,M,7,1998,94708,94707,Logan Evans
116,M,3,1998,94710,94704,Grayson Collins
117,M,3,1999,94707,94707,William Johnson
118,M,11,1998,94710,94710,Carter Garcia
119,F,11,1991,94707,94707,Ava Hall
120,M,5,1999,94704,94704,James Martin
121,M,12,1992,94704,94710,Mason Carter
122,M,7,1991,94703,94703,Jackson Carter
123,F,2,1994,94704,94704,Sophia Rodriguez
124,F,11,1991,94706,94706,Abigail White
125,M,2,1990,94701,94701,Elijah Hernandez
126,M,8,1999,94710,94710,Daniel Thompson
127,M,8,1996,94702,94704,Jack Gonzalez
128,M,3,2000,94701,94706,Wyatt Thompson
129,M,2,1992,94720,94720,Matthew Harris
130,M,8,1994,94708,94708,Samuel Moore
131,M,12,1997,94703,94703,Liam Campbell
132,M,12,2000,94712,94703,Mason Nelson
133,M,1,2000,94703,94703,Luke Wright
134,M,8,1994,94705,94703,Alexander Campbell
135,F,3,1990,94707,94707,Emily Campbell
136,F,5,1993,94706,94706,Emily Evans
137,M,7,1999,94720,94720,Oliver King
138,M,6,1998,94705,94705,Grayson Rodriguez
139,M,6,1997,94702,94702,Alexander Allen
140,M,9,1994,94704,94702,Daniel Taylor
141,M,6,1995,94704,94704,Samuel Lee
142,M,6,1995,94703,94703,Michael Hall
143,M,2,1998,94720,94720,Jacob Green
144,M,7,1997,94705,94701,Mason Campbell
145,M,11,1994,94720,94704,David Rodriguez
146,M,6,1997,94712,94712,William Mitchell
147,M,11,1995,94706,94706,David Adams
